item_id,item_length,item_width,item_height,bin_length,bin_width,bin_height
3630590,8.823,5.951,1.285,24,12,10
5802227,10.02,7.019,0.47,24,12,10
5697885,7.929,5.047,1.156,24,12,10
5462881,7.488,5.07,0.585,24,12,10
2057018,12.11,9.753,1.621,24,12,10
5153472,8.899,8.718,1.342,24,12,10
9247894,10.016,6.978,0.975,24,12,10
7807059,8.423,5.6,0.919,24,12,10
1257306,8.196,5.682,0.538,24,12,10
7206045,7.715,5.101,1.191,24,12,10
2051873,7.698,5.228,0.686,24,12,10
6432906,7.756,5.092,0.805,24,12,10
5437008,8.26,4.231,0.595,24,12,10
8778480,8.051,5.231,1.01,24,12,10
6747113,8.414,8.119,0.656,24,12,10
2735680,9.526,6.369,1.127,24,12,10
9245673,9.533,6.432,1.22,24,12,10
1470101,9.25,6.311,1.148,24,12,10
4184978,9.191,6.261,0.954,24,12,10
2148461,8.836,5.823,0.897,24,12,10
1699838,8.212,5.539,0.456,24,12,10
1219221,9.298,6.248,1.137,24,12,10
6815077,11.33,9.975,0.715,24,12,10
7408878,11.064,10.909,0.955,24,12,10
6513853,8.477,5.859,0.819,24,12,10
3430981,11.655,10.343,1.142,24,12,10
2422998,8.505,5.815,1.258,24,12,10
5305913,7.605,5.228,0.771,24,12,10
3167560,9.314,6.281,1.383,24,12,10
3735623,9.362,6.364,0.863,24,12,10
5535743,9.455,6.384,1.302,24,12,10
6531164,9.292,6.147,0.802,24,12,10
8842620,9.584,7.222,0.182,24,12,10
4767015,10.542,7.867,0.86,24,12,10
5588899,11.038,8.534,0.412,24,12,10
4834587,11.034,8.511,1.086,24,12,10
7267736,8.796,5.815,1.154,24,12,10
8628655,12.518,8.262,0.476,24,12,10
3332258,10.572,10.041,0.457,24,12,10
1300811,10.173,8.928,0.695,24,12,10
8862705,8.014,5.191,1.034,24,12,10
5945473,7.824,5.085,0.768,24,12,10
6800536,7.927,5.51,0.614,24,12,10
5319663,7.641,4.839,0.786,24,12,10
9015034,6.77,4.321,1.189,24,12,10
4751401,6.909,4.321,0.271,24,12,10
2585820,9.49,6.436,1.112,24,12,10
4343225,7.73,5.089,1.168,24,12,10
7734453,6.822,4.311,0.304,24,12,10
3566920,8.471,5.558,1.386,24,12,10
6459730,8.199,5.32,0.675,24,12,10
3342541,10.276,9.307,1.139,24,12,10
6789648,10.855,8.273,0.638,24,12,10
6212641,8.979,6.096,1.419,24,12,10
1636545,9.531,6.442,2.215,24,12,10
7624925,9.268,6.35,2.598,24,12,10
4352350,9.224,6.389,2.252,24,12,10
9251487,10.823,8.541,0.81,24,12,10
5506118,9.201,6.112,1.342,24,12,10
7824737,9.255,7.118,1.025,24,12,10
4822453,8.004,5.293,0.977,24,12,10
9104256,7.447,5.556,0.647,24,12,10
9325779,12.104,8.463,1.354,24,12,10
9537434,10.892,10.535,1.198,24,12,10
5192856,10.814,8.23,0.281,24,12,10
2865709,9.354,6.342,0.83,24,12,10
9429890,7.597,4.855,0.948,24,12,10
8857364,9.733,7.342,0.211,24,12,10
7006519,9.677,7.37,0.715,24,12,10
5523164,8.957,7.018,1.064,24,12,10
5370416,7.401,6.245,0.824,24,12,10
3998295,8.173,6.028,0.645,24,12,10
6991005,9.855,6.803,0.946,24,12,10
